model,pos,modeltype,rep,loss,heads.m,mask_resolution,binac_code,ap595
1-A-quinoastage1,1,1,A,mask1class1,heads,28x28,10763958,0.719664277
1-B-quinoastage1,2,1,B,mask1class1,heads,28x28,10763959,0.75652672
1-C-quinoastage1,3,1,C,mask1class1,heads,28x28,10763960,0.730601055
1-D-quinoastage1,4,1,D,mask1class1,heads,28x28,10763961,0.73788001
1-E-quinoastage1,5,1,E,mask1class1,heads,28x28,10763962,0.726022045
2-A-quinoastage1,6,2,A,mask1class10,heads,28x28,10763963,0.577817047
2-B-quinoastage1,7,2,B,mask1class10,heads,28x28,10763964,0.745187004
2-C-quinoastage1,8,2,C,mask1class10,heads,28x28,10763965,0.721468432
2-D-quinoastage1,9,2,D,mask1class10,heads,28x28,10763966,0.733985971
2-E-quinoastage1,10,2,E,mask1class10,heads,28x28,10763967,0.653850637
3-A-quinoastage1,11,3,A,mask10class1,heads,28x28,10763968,0.701028657
3-B-quinoastage1,12,3,B,mask10class1,heads,28x28,10763969,0.731790376
3-C-quinoastage1,13,3,C,mask10class1,heads,28x28,10763970,0.736982337
3-D-quinoastage1,14,3,D,mask10class1,heads,28x28,10763971,0.735675949
3-E-quinoastage1,15,3,E,mask10class1,heads,28x28,10763972,0.719438581
4-A-quinoastage1,16,4,A,mask1class1,heads,56x56,10763973,0.759683126
4-B-quinoastage1,17,4,B,mask1class1,heads,56x56,10763974,0.750244109
4-C-quinoastage1,18,4,C,mask1class1,heads,56x56,10763975,0.75936161
4-D-quinoastage1,19,4,D,mask1class1,heads,56x56,10763976,0.772056628
4-E-quinoastage1,20,4,E,mask1class1,heads,56x56,10763977,0.748142856
5-A-quinoastage1,21,5,A,mask1class10,heads,56x56,10763978,0.734530552
5-B-quinoastage1,22,5,B,mask1class10,heads,56x56,10763979,0.754978883
5-C-quinoastage1,23,5,C,mask1class10,heads,56x56,10763980,0.755081968
5-D-quinoastage1,24,5,D,mask1class10,heads,56x56,10770016,
5-E-quinoastage1,25,5,E,mask1class10,heads,56x56,10770015,
6-A-quinoastage1,26,6,A,mask10class1,heads,56x56,10763983,0.749077166
6-B-quinoastage1,27,6,B,mask10class1,heads,56x56,10763984,0.722492873
6-C-quinoastage1,28,6,C,mask10class1,heads,56x56,10763985,0.731768927
6-D-quinoastage1,29,6,D,mask10class1,heads,56x56,10763986,0.753401644
6-E-quinoastage1,30,6,E,mask10class1,heads,56x56,10763987,0.729382295
7-A-quinoastage1,31,7,A,mask1class1,all,28x28,10763988,0.726087409
7-B-quinoastage1,32,7,B,mask1class1,all,28x28,10763989,0.732284805
7-C-quinoastage1,33,7,C,mask1class1,all,28x28,10763990,0.755793817
7-D-quinoastage1,34,7,D,mask1class1,all,28x28,10763991,0.719304903
7-E-quinoastage1,35,7,E,mask1class1,all,28x28,10763992,0.755816312
8-A-quinoastage1,36,8,A,mask1class10,all,28x28,10763993,0.764999386
8-B-quinoastage1,37,8,B,mask1class10,all,28x28,10763994,0.762372158
8-C-quinoastage1,38,8,C,mask1class10,all,28x28,10763995,0.753246342
8-D-quinoastage1,39,8,D,mask1class10,all,28x28,10763996,0.787756771
8-E-quinoastage1,40,8,E,mask1class10,all,28x28,10763997,0.744253959
9-A-quinoastage1,41,9,A,mask10class1,all,28x28,10763998,0.704489849
9-B-quinoastage1,42,9,B,mask10class1,all,28x28,10763999,0.780547091
9-C-quinoastage1,43,9,C,mask10class1,all,28x28,10764000,0.748850966
9-D-quinoastage1,44,9,D,mask10class1,all,28x28,10764001,0.750596646
9-E-quinoastage1,45,9,E,mask10class1,all,28x28,10764002,0.750056632
10-A-quinoastage1,46,10,A,mask1class1,all,56x56,10764003,0.797748107
10-B-quinoastage1,47,10,B,mask1class1,all,56x56,10764004,0.778164909
10-C-quinoastage1,48,10,C,mask1class1,all,56x56,10764005,0.782508687
10-D-quinoastage1,49,10,D,mask1class1,all,56x56,10764006,0.814113048
10-E-quinoastage1,50,10,E,mask1class1,all,56x56,10764007,0.784506385
11-A-quinoastage1,51,11,A,mask1class10,all,56x56,10764008,0.788444279
11-B-quinoastage1,52,11,B,mask1class10,all,56x56,10764009,0.809308557
11-C-quinoastage1,53,11,C,mask1class10,all,56x56,10764010,0.738388542
11-D-quinoastage1,54,11,D,mask1class10,all,56x56,10764011,0.781465933
11-E-quinoastage1,55,11,E,mask1class10,all,56x56,10764012,0.792317191
12-A-quinoastage1,56,12,A,mask10class1,all,56x56,10764013,0.803967329
12-B-quinoastage1,57,12,B,mask10class1,all,56x56,10764014,0.799496074
12-C-quinoastage1,58,12,C,mask10class1,all,56x56,10764015,0.811551959
12-D-quinoastage1,59,12,D,mask10class1,all,56x56,10764016,0.801174357
12-E-quinoastage1,60,12,E,mask10class1,all,56x56,10764017,
13-A-quinoastage1,61,13,A,mask20class1,heads,28x28,10764018,0.754541177
13-B-quinoastage1,62,13,B,mask20class1,heads,28x28,10764019,0.677107296
13-C-quinoastage1,63,13,C,mask20class1,heads,28x28,10764020,0.734084584
13-D-quinoastage1,64,13,D,mask20class1,heads,28x28,10764021,0.730001321
13-E-quinoastage1,65,13,E,mask20class1,heads,28x28,10764022,0.740162594
14-A-quinoastage1,66,14,A,mask20class1,heads,56x56,10764023,
14-B-quinoastage1,67,14,B,mask20class1,heads,56x56,10764024,
14-C-quinoastage1,68,14,C,mask20class1,heads,56x56,10764025,0.713607583
14-D-quinoastage1,69,14,D,mask20class1,heads,56x56,10764026,
14-E-quinoastage1,70,14,E,mask20class1,heads,56x56,10764027,
15-A-quinoastage1,71,15,A,mask20class1,all,28x28,10764028,
15-B-quinoastage1,72,15,B,mask20class1,all,28x28,10764029,
15-C-quinoastage1,73,15,C,mask20class1,all,28x28,10764030,0.771859594
15-D-quinoastage1,74,15,D,mask20class1,all,28x28,10764031,
15-E-quinoastage1,75,15,E,mask20class1,all,28x28,10764032,
16-A-quinoastage1,76,16,A,mask20class1,all,56x56,10764033,
16-B-quinoastage1,77,16,B,mask20class1,all,56x56,10764034,
16-C-quinoastage1,78,16,C,mask20class1,all,56x56,10764035,
16-D-quinoastage1,79,16,D,mask20class1,all,56x56,10764036,
16-E-quinoastage1,80,16,E,mask20class1,all,56x56,10764037,
